AGEP,SEX,RAC1P,HISP,SCHL,PINCP,MAR,ST,MIL,DIS,CIT,ENG,NP,JWTRNS,ESR,HINS1,TEN,PWGTP,state
10,2,9,7,6,-19999,5,6,0,2,1,0,5,0,0,2,1,189,06
12,2,8,15,8,-19999,5,6,0,2,1,0,5,0,0,1,3,162,06
3,2,6,1,1,-19999,5,6,0,2,1,0,5,0,0,1,1,60,06
13,2,1,1,10,-19999,5,6,0,2,1,0,4,0,0,1,3,61,06
94,2,6,1,16,15700,3,6,4,2,4,1,5,0,6,2,2,112,06
12,1,1,1,9,-19999,5,6,0,2,1,0,4,0,0,1,1,95,06
48,1,1,1,17,14300,5,6,4,1,1,0,1,0,6,2,0,68,06
36,2,1,1,21,180000,1,6,4,2,1,0,5,1,1,1,2,101,06
0,1,1,1,0,-19999,5,6,0,2,1,0,4,0,0,2,2,45,06
36,1,6,1,18,44200,1,6,4,2,4,0,6,1,1,2,1,49,06
39,2,9,2,16,60000,5,6,4,2,1,0,6,1,1,1,1,56,06
60,1,1,1,19,154000,1,6,4,2,1,0,2,1,1,1,1,61,06
26,1,9,2,19,50000,5,6,4,2,5,1,9,11,1,1,3,149,06
58,2,1,1,18,57000,1,6,4,2,1,0,5,1,1,1,1,128,06
15,1,6,1,13,0,1,6,0,2,1,1,6,0,0,2,1,63,06
5,1,9,2,2,-19999,5,6,0,2,1,0,5,0,0,2,1,78,06
89,1,1,1,22,27000,1,6,2,2,1,0,2,0,6,2,1,64,06
23,1,2,1,19,15000,5,6,4,2,1,0,1,1,1,1,3,572,06
12,1,8,2,8,-19999,5,6,0,2,3,1,3,0,0,2,3,246,06
69,2,1,1,16,11100,1,6,4,2,1,0,2,0,6,1,1,34,06
3,1,9,2,1,-19999,5,6,0,2,1,0,5,0,0,1,3,375,06
9,1,6,1,7,-19999,5,6,0,2,1,0,5,0,0,1,1,149,06
70,2,6,1,16,90000,3,6,4,2,4,0,1,1,1,1,3,141,06
4,2,1,1,2,-19999,5,6,0,2,1,0,5,0,0,1,1,121,06
56,2,1,1,21,92000,3,6,4,2,1,0,2,1,1,1,2,61,06
16,1,8,2,14,11000,5,6,0,2,1,0,5,0,6,2,3,156,06
54,2,6,1,16,13300,1,6,4,2,5,3,2,1,1,2,3,58,06
62,1,9,2,8,35000,1,6,4,2,5,3,8,1,1,1,1,149,06
1,1,9,7,0,-19999,5,6,0,2,1,0,6,0,0,2,3,156,06
66,1,1,7,5,11400,4,6,4,2,5,0,6,0,6,2,1,114,06
15,1,9,2,14,0,5,6,0,2,1,1,6,0,0,2,3,103,06
21,1,8,2,19,0,5,6,4,2,1,1,4,0,6,2,3,58,06
57,1,8,2,19,130000,1,6,4,2,1,0,5,1,1,1,1,130,06
6,2,1,1,3,-19999,5,6,0,2,1,0,3,0,0,1,1,77,06
72,1,8,1,23,38800,5,6,4,1,4,0,3,0,6,2,3,62,06
44,2,1,1,20,10000,1,6,4,2,1,0,2,11,1,2,3,56,06
70,2,1,1,18,13000,2,6,4,2,4,3,3,0,6,2,2,98,06
39,1,9,2,1,30000,1,6,4,2,5,2,4,1,1,2,1,409,06
45,2,9,2,20,3200,1,6,4,2,1,1,3,0,6,2,2,132,06
29,2,6,1,22,33000,5,6,4,2,4,1,3,12,1,2,3,168,06
48,1,6,1,16,32600,1,6,4,2,5,3,6,1,1,2,1,136,06
15,1,8,2,12,0,5,6,0,2,1,1,5,0,0,2,1,166,06
32,1,1,2,1,0,5,6,4,2,4,4,9,0,6,1,3,286,06
66,2,6,1,11,30200,1,6,4,2,4,2,2,1,1,2,2,121,06
52,1,9,24,18,0,1,6,2,1,1,0,3,0,6,1,1,260,06
30,2,1,1,20,50000,1,6,4,2,1,0,4,1,1,1,3,73,06
68,2,1,1,20,77000,2,6,4,2,1,0,3,11,1,1,1,135,06
66,1,1,1,21,26000,1,6,4,2,1,0,2,0,6,1,2,141,06
21,1,2,1,18,9600,5,6,4,2,1,0,4,1,1,2,1,197,06
31,1,2,1,21,91200,1,6,1,2,1,0,3,1,4,2,1,105,06
4,1,1,1,2,-19999,5,6,0,2,1,0,4,0,0,1,1,203,06
62,2,9,2,17,0,1,6,4,1,1,0,2,0,6,1,1,47,06
31,2,9,2,16,80000,1,6,4,2,1,0,4,1,1,2,3,170,06
59,1,1,1,21,285000,5,6,4,2,1,0,2,1,1,2,1,208,06
25,1,8,2,20,34000,5,6,4,2,1,1,2,1,1,2,3,87,06
43,2,6,1,21,120000,3,6,4,2,4,1,2,0,2,1,3,55,06
25,2,9,1,20,25000,5,6,4,2,1,0,4,1,1,1,1,257,06
50,1,6,1,22,200050,1,6,4,2,4,0,4,11,1,1,2,94,06
46,1,9,2,20,7600,5,6,2,2,1,0,3,1,1,2,2,58,06
40,1,1,1,21,256100,4,6,4,2,1,0,1,1,1,2,3,181,06
40,2,6,1,20,0,1,6,4,2,4,0,5,0,6,1,1,240,06
7,2,2,7,6,-19999,5,6,0,2,1,0,6,0,0,2,3,46,06
59,1,2,1,16,9100,3,6,4,1,1,0,1,0,6,2,0,44,06
25,1,8,24,19,46500,5,6,4,2,1,1,7,11,1,2,2,255,06
51,1,2,1,15,12500,5,6,4,1,1,0,3,0,6,2,3,56,06
8,2,9,2,5,-19999,5,6,0,2,1,0,5,0,0,2,1,121,06
26,1,1,2,19,54710,1,6,4,2,1,1,4,1,1,1,1,53,06
11,2,8,2,8,-19999,5,6,0,2,1,0,6,0,0,2,3,358,06
71,2,9,1,21,27100,1,6,4,2,1,0,2,0,6,2,2,87,06
4,1,8,2,1,-19999,5,6,0,2,1,0,5,0,0,2,3,246,06
69,2,1,1,16,30000,1,6,4,2,1,0,2,0,6,1,1,293,06
8,2,1,1,5,-19999,5,6,0,2,1,0,7,0,0,2,1,201,06
39,2,8,2,16,89400,1,6,4,2,1,0,4,0,2,2,1,323,06
38,2,1,1,22,50000,1,6,4,2,1,0,4,1,1,1,1,264,06
74,1,1,1,20,58500,1,6,2,2,1,0,2,0,6,1,1,96,06
62,2,6,1,19,74700,1,6,4,2,4,2,2,1,1,1,3,71,06
42,2,8,2,12,8800,5,6,4,2,5,4,5,0,3,2,3,163,06
32,1,8,2,14,2400,5,6,4,1,1,0,3,0,6,2,1,364,06
4,2,9,2,2,-19999,5,6,0,2,1,0,3,0,0,1,3,147,06
5,1,6,1,2,-19999,5,6,0,2,1,2,3,0,0,1,3,76,06
57,2,9,1,18,10800,5,6,4,1,1,0,5,0,6,2,1,143,06
81,1,2,1,16,30000,3,6,4,2,1,0,4,1,1,1,1,62,06
57,1,9,4,24,0,1,6,4,2,4,2,3,0,3,1,1,192,06
27,2,2,1,19,12000,5,6,4,2,1,0,3,7,1,2,3,189,06
37,1,8,7,9,20000,1,6,4,2,4,3,5,1,1,2,3,222,06
45,2,1,1,21,700,1,6,4,2,1,0,5,11,1,1,1,147,06
23,2,1,1,22,30000,5,6,4,2,1,0,4,1,1,1,2,108,06
56,1,8,19,16,57000,1,6,4,2,4,1,4,0,6,2,4,63,06
34,1,1,1,16,12000,5,6,4,2,1,0,1,0,3,2,3,326,06
8,2,1,1,6,-19999,5,6,0,2,1,0,3,0,0,1,3,222,06
15,2,9,1,13,0,5,6,0,2,1,0,3,0,0,1,1,58,06
5,2,9,2,2,-19999,5,6,0,1,1,0,7,0,0,2,3,149,06
5,1,6,2,1,-19999,5,6,0,2,1,1,4,0,0,1,2,211,06
70,1,6,1,20,27500,1,6,4,2,4,2,2,0,6,2,4,70,06
48,2,8,2,16,40000,1,6,4,2,5,2,5,1,1,1,1,117,06
31,2,9,24,20,1000,5,6,4,1,1,0,5,0,6,2,2,104,06
45,2,3,2,11,128000,1,6,4,2,5,2,6,1,1,1,2,80,06
11,1,1,1,7,-19999,5,6,0,2,1,0,6,0,0,2,1,143,06
78,2,1,1,16,40000,1,6,4,2,1,0,2,0,6,2,1,48,06
20,1,1,3,19,20000,5,6,4,2,1,1,4,9,1,1,1,48,06
4,1,9,8,1,-19999,5,6,0,2,5,0,2,0,0,2,3,131,06
3,2,1,1,1,-19999,5,6,0,2,1,0,5,0,0,1,3,275,06
46,2,8,2,16,0,5,6,4,2,1,1,6,0,6,2,3,98,06
2,2,9,1,0,-19999,5,6,0,2,1,0,3,0,0,1,3,74,06
12,2,6,1,10,-19999,5,6,0,2,1,1,7,0,0,1,3,247,06
48,2,1,1,20,6000,5,6,4,2,1,0,1,0,6,1,0,75,06
22,2,1,1,18,10000,5,6,4,2,1,0,4,1,1,2,1,68,06
43,1,6,1,21,180000,1,6,4,2,1,1,2,11,1,1,1,106,06
56,2,1,1,19,100000,4,6,4,2,1,0,4,1,1,1,1,134,06
37,1,1,1,21,80000,1,6,4,2,1,0,5,1,1,2,3,54,06
38,1,2,1,22,185000,1,6,4,2,4,1,2,11,1,1,1,360,06
44,2,8,2,16,0,1,6,4,2,1,1,8,0,6,2,1,171,06
43,1,6,1,21,115000,1,6,4,2,4,1,5,1,1,2,3,176,06
13,1,1,1,10,-19999,5,6,0,2,1,0,3,0,0,1,1,253,06
2,2,9,2,0,-19999,5,6,0,2,1,0,3,0,0,2,3,89,06
6,2,8,2,2,-19999,5,6,0,2,1,1,4,0,0,2,3,222,06
71,2,1,1,18,14500,1,6,4,1,1,0,5,0,6,2,3,112,06
94,2,1,1,19,26600,2,6,4,1,1,0,1,0,6,2,3,139,06
3,1,2,3,1,-19999,5,6,0,2,1,0,4,0,0,2,3,304,06
8,1,9,2,6,-19999,5,6,0,2,1,1,4,0,0,1,3,71,06
29,1,1,1,21,410000,5,6,4,2,1,0,2,11,1,1,3,135,06
75,2,1,1,16,82300,2,6,4,2,1,0,1,1,1,1,3,51,06
17,2,9,2,13,0,5,6,4,2,1,1,6,0,6,1,1,253,06
27,2,1,1,21,65000,5,6,4,2,1,0,3,1,1,1,3,116,06
35,2,8,11,16,0,5,6,4,2,5,1,8,0,6,2,1,73,06
8,2,1,2,5,-19999,5,6,0,2,1,1,3,0,0,1,1,82,06
69,1,9,3,20,21800,4,6,2,2,1,1,1,0,6,2,3,115,06
28,2,8,2,16,13300,5,6,4,2,1,1,3,10,1,2,3,115,06
74,2,1,1,22,12500,2,6,4,1,4,3,1,0,6,2,3,173,06
5,1,9,2,1,-19999,5,6,0,2,1,2,3,0,0,2,3,122,06
32,1,6,1,22,99000,1,6,4,2,5,1,2,11,1,1,3,74,06
24,1,1,2,13,44200,5,6,4,2,1,0,7,1,1,1,3,103,06
88,2,6,1,16,9300,3,6,4,1,4,1,4,0,6,2,2,107,06
41,2,9,2,21,144000,1,6,4,2,1,0,3,1,1,1,1,339,06
39,1,6,1,22,15000,1,6,4,2,1,0,4,1,1,2,1,252,06
2,2,2,1,0,-19999,5,6,0,2,1,0,3,0,0,2,3,307,06
64,1,1,1,21,58000,1,6,4,2,1,0,2,11,1,1,1,137,06
81,2,9,1,16,19200,2,6,4,1,1,0,3,0,6,2,1,150,06
36,1,8,2,16,74000,1,6,4,2,4,2,7,1,1,1,1,60,06
30,1,1,1,24,55000,5,6,4,2,1,0,1,10,1,1,0,90,06
62,2,8,1,20,38000,3,6,4,2,1,0,2,1,1,1,3,47,06
71,2,9,1,16,6600,1,6,4,2,1,0,2,0,6,1,2,76,06
42,1,8,2,1,0,5,6,4,1,5,0,1,0,6,2,0,73,06
67,2,9,1,20,66000,1,6,4,2,1,0,2,1,1,2,1,110,06
75,2,9,2,16,12000,3,6,4,1,1,1,2,0,6,1,1,185,06
67,2,9,23,20,0,3,6,4,1,1,0,2,0,6,2,3,77,06
26,2,6,1,22,120000,1,6,4,2,5,1,2,1,1,1,3,67,06
46,2,9,2,18,35000,1,6,4,2,1,1,3,1,1,1,2,112,06
64,2,1,1,21,153000,3,6,4,2,1,0,2,11,1,1,1,91,06
69,2,1,1,24,225000,2,6,4,2,1,0,1,9,1,1,2,77,06
16,2,6,1,13,0,5,6,0,2,5,2,3,0,6,2,1,104,06
38,1,8,2,16,10000,5,6,4,2,1,1,5,0,2,2,3,61,06
36,1,6,1,21,200000,5,6,4,2,1,0,3,11,1,1,3,349,06
79,2,2,1,16,0,1,6,4,2,1,0,2,0,6,2,1,166,06
19,1,2,1,19,20000,5,6,4,2,1,0,4,1,1,1,3,239,06
5,2,9,7,1,-19999,5,6,0,2,1,1,6,0,0,2,3,359,06
16,1,1,1,14,6700,5,6,0,1,1,0,3,0,6,1,3,424,06
27,2,1,2,21,75000,5,6,4,2,1,0,2,11,1,1,3,372,06
46,2,9,1,22,90000,1,6,4,2,1,0,2,1,1,1,1,244,06
60,1,1,1,21,214000,1,6,4,2,1,0,3,0,6,1,1,61,06
74,1,6,1,16,15700,1,6,4,2,4,1,2,0,6,2,2,51,06
74,1,1,1,23,38000,1,6,4,2,1,0,2,10,1,2,2,292,06
21,2,9,2,19,0,5,6,4,2,5,1,5,0,6,2,3,137,06
70,2,9,11,9,12000,1,6,4,2,4,3,4,0,6,2,1,153,06
5,2,6,1,2,-19999,5,6,0,2,1,1,5,0,0,2,1,148,06
77,2,6,1,1,11500,2,6,4,1,4,4,1,0,6,2,3,82,06
70,1,1,1,19,12000,3,6,4,1,1,0,1,0,6,2,2,376,06
62,2,1,2,18,0,3,6,4,2,1,0,1,0,6,2,3,210,06
0,2,1,1,0,-19999,5,6,0,2,1,0,3,0,0,2,3,113,06
70,1,1,2,17,70000,1,6,4,2,1,1,5,0,6,2,3,116,06
3,1,1,1,1,-19999,5,6,0,2,1,0,4,0,0,1,3,289,06
55,1,1,1,22,0,1,6,4,1,1,0,2,0,6,2,1,72,06
36,1,8,2,13,24500,1,6,4,2,5,3,2,1,1,1,3,389,06
24,2,8,2,21,32000,5,6,4,2,1,0,3,1,1,1,3,312,06
45,1,8,11,16,30000,1,6,4,2,5,4,6,1,1,2,3,200,06
47,1,8,2,1,30000,1,6,4,2,4,2,5,1,1,1,3,375,06
21,1,8,19,21,0,5,6,4,2,1,0,13,0,6,2,1,170,06
62,1,1,1,19,75000,2,6,2,2,1,0,3,1,1,2,3,126,06
66,1,2,1,16,0,5,6,4,1,1,0,1,0,6,1,0,14,06
59,2,1,1,18,35700,1,6,4,2,1,0,2,0,6,1,1,289,06
59,1,1,1,21,142300,1,6,4,2,1,0,4,1,1,1,3,68,06
13,1,8,2,9,-19999,5,6,0,2,1,2,7,0,0,2,3,169,06
43,2,1,1,19,31000,5,6,4,2,4,2,2,1,1,1,3,317,06
9,2,6,1,7,-19999,5,6,0,2,4,1,5,0,0,2,1,145,06
34,1,1,1,22,30000,1,6,4,2,1,0,4,1,1,1,3,132,06
59,2,1,1,21,60000,1,6,4,2,1,0,3,11,1,2,2,100,06
59,1,1,1,19,40000,1,6,2,2,1,0,2,0,2,1,3,188,06
75,1,1,1,21,30000,1,6,4,2,1,0,2,0,6,2,1,85,06
33,2,1,1,21,161000,5,6,4,2,1,0,2,0,2,2,3,113,06
38,1,6,1,21,41200,3,6,4,1,1,0,4,1,1,2,3,167,06
27,2,9,2,21,40000,1,6,4,2,1,1,2,1,1,2,3,55,06
48,2,6,1,16,18000,1,6,4,2,5,2,2,1,1,2,1,127,06
67,2,8,2,21,25100,2,6,4,2,4,3,2,1,1,1,1,240,06
38,1,8,7,16,39400,1,6,4,2,5,4,5,2,1,2,3,123,06
1,2,8,2,0,-19999,5,6,0,2,1,0,3,0,0,2,3,332,06
40,1,2,1,22,67000,5,6,4,1,1,0,1,1,1,1,3,225,06
64,2,8,2,8,10000,1,6,4,1,5,4,10,11,1,2,1,157,06
57,1,1,1,16,15300,2,6,4,2,1,0,2,1,1,2,3,348,06
28,2,3,1,18,0,5,6,4,2,1,0,1,0,6,1,3,101,06
78,2,6,1,5,6200,2,6,4,1,4,3,4,0,6,2,1,377,06
67,2,1,1,22,60000,1,6,4,2,1,0,2,0,6,1,2,69,06
3,2,8,2,1,-19999,5,6,0,2,1,0,4,0,0,1,1,262,06
25,2,1,1,20,250000,1,6,4,2,3,0,2,1,1,1,3,67,06
6,2,1,1,2,-19999,5,6,0,1,1,1,4,0,0,1,1,83,06
62,2,1,2,6,0,1,6,4,1,4,4,3,0,6,1,3,70,06
65,1,1,1,24,115000,1,6,4,2,1,0,2,1,1,1,1,57,06
11,1,2,1,8,-19999,5,6,0,2,1,0,5,0,0,1,1,565,06
67,2,1,2,9,30800,1,6,4,1,3,3,2,0,6,2,2,158,06
16,2,1,1,12,0,5,6,0,2,1,0,4,0,6,2,3,122,06
44,2,1,1,20,0,1,6,4,2,1,0,6,0,6,1,1,71,06
5,1,6,1,3,-19999,5,6,0,2,1,0,3,0,0,2,1,256,06
27,1,9,16,21,30700,5,6,4,2,5,1,2,1,1,1,3,138,06
61,2,6,1,19,52200,2,6,4,2,4,2,1,0,6,1,2,60,06
8,2,9,2,5,-19999,5,6,0,2,1,1,3,0,0,2,3,172,06
75,1,6,1,1,8400,1,6,4,2,4,3,5,0,6,2,2,83,06
38,1,1,1,16,50000,1,6,4,2,1,0,4,1,1,1,3,294,06
35,2,2,1,21,100000,3,6,4,2,1,0,3,1,1,1,3,132,06
2,2,1,1,0,-19999,5,6,0,2,1,0,5,0,0,2,3,234,06
29,1,6,1,22,126000,5,6,4,2,5,0,3,11,1,1,3,156,06
61,2,1,1,21,30000,1,6,4,2,4,1,2,0,6,1,1,52,06
1,2,1,1,0,-19999,5,6,0,2,1,0,3,0,0,1,3,448,06
54,2,9,2,21,32400,1,6,4,2,1,1,4,0,6,1,2,503,06
47,1,9,2,12,37000,1,6,4,2,5,2,5,1,1,2,3,329,06
24,1,8,11,16,30000,5,6,4,2,5,1,3,1,1,1,1,320,06
70,1,1,1,20,21710,1,6,4,1,1,0,2,0,6,2,2,64,06
9,1,1,2,7,-19999,5,6,0,2,1,0,4,0,0,1,1,346,06
22,2,1,1,21,45000,5,6,4,2,1,0,2,1,1,2,3,89,06
32,2,1,7,16,50000,1,6,4,2,4,2,5,1,1,1,1,476,06
28,2,9,2,22,95000,5,6,4,2,1,0,2,11,1,1,3,195,06
77,1,6,1,1,9600,1,6,4,1,4,4,2,0,6,2,1,51,06
40,1,1,1,21,250000,3,6,4,2,1,0,4,11,1,1,1,65,06
27,1,1,1,21,26300,5,6,4,2,1,0,2,1,1,2,3,92,06
24,1,1,1,18,445000,5,6,4,1,1,0,1,1,1,2,3,386,06
42,2,1,1,18,700,5,6,4,2,1,0,2,1,1,2,3,57,06
69,1,1,1,21,68900,1,6,2,2,1,0,2,0,6,1,1,52,06
76,2,1,1,16,10200,1,6,4,2,1,0,2,0,6,2,2,41,06
28,2,9,2,21,70000,1,6,4,2,1,0,2,1,1,1,3,78,06
24,2,8,2,21,12000,5,6,4,2,1,1,9,0,2,1,1,225,06
21,2,6,1,19,10000,5,6,4,1,1,0,5,12,1,1,1,463,06
52,2,1,2,19,88000,1,6,4,2,1,0,2,11,1,1,1,134,06
94,1,9,2,9,26800,1,6,4,1,1,2,3,0,6,1,2,61,06
17,2,1,2,14,3600,5,6,4,2,5,2,4,2,1,1,2,54,06
10,2,8,2,6,-19999,5,6,0,2,1,0,4,0,0,1,3,281,06
0,1,1,1,0,-19999,5,6,0,2,1,0,4,0,0,1,3,40,06
56,1,9,1,22,11000,5,6,4,1,1,1,1,0,6,2,3,293,06
1,1,6,1,0,-19999,5,6,0,2,1,0,6,0,0,1,1,154,06
12,2,2,1,9,-19999,5,6,0,2,1,0,4,0,0,2,3,127,06
11,2,9,2,8,-19999,5,6,0,2,1,2,6,0,0,2,3,88,06
22,1,3,2,19,30000,5,6,4,2,1,1,5,1,1,1,4,309,06
24,1,8,2,18,47000,5,6,4,2,1,0,3,11,1,2,3,54,06
12,2,6,1,10,-19999,5,6,0,2,1,0,6,0,0,2,3,86,06
76,2,6,1,8,12500,2,6,4,2,4,3,1,0,6,2,3,37,06
34,1,8,2,1,9000,5,6,4,2,5,0,3,10,1,2,3,151,06
6,1,1,2,5,-19999,5,6,0,2,1,1,10,0,0,2,2,74,06
32,1,6,1,20,87000,1,6,4,2,1,0,4,1,1,1,3,165,06
24,1,7,2,19,9900,5,6,4,2,1,1,5,1,1,1,1,57,06
3,2,6,1,1,-19999,5,6,0,2,1,0,4,0,0,2,2,100,06
6,1,6,1,3,-19999,5,6,0,2,1,0,4,0,0,2,3,98,06
74,2,1,1,16,42600,2,6,4,2,1,0,2,0,6,2,2,288,06
0,2,8,2,0,-19999,5,6,0,2,1,0,4,0,0,1,1,120,06
16,1,8,2,13,3300,5,6,0,2,1,1,6,10,1,2,3,239,06
45,1,2,1,20,100000,5,6,4,2,1,0,2,1,1,1,1,62,06
52,2,1,1,21,0,1,6,4,2,1,0,3,0,3,1,2,84,06
23,2,8,2,19,15000,5,6,4,2,1,0,6,1,1,1,3,85,06
63,2,1,1,17,40000,1,6,4,1,1,0,2,1,1,1,3,36,06
28,2,8,2,16,25000,5,6,4,2,1,1,7,1,1,1,2,195,06
19,2,9,2,19,11500,5,6,4,2,1,1,1,0,6,2,0,90,06
8,2,6,1,5,-19999,5,6,0,2,1,1,5,0,0,1,1,92,06
7,2,1,2,5,-19999,5,6,0,2,1,0,4,0,0,2,1,250,06
46,2,6,1,16,38300,3,6,4,2,5,2,3,1,1,2,2,84,06
75,2,1,1,16,12500,2,6,4,1,4,4,1,0,6,2,3,235,06
36,2,9,1,19,0,3,6,4,2,1,0,2,0,6,2,3,173,06
14,1,2,1,10,-19999,5,6,0,2,4,0,3,0,0,1,1,224,06
7,2,9,2,4,-19999,5,6,0,2,1,0,4,0,0,1,1,60,06
6,2,9,2,4,-19999,5,6,0,2,1,0,5,0,0,1,1,126,06
75,1,1,1,21,94000,1,6,2,2,1,0,2,0,6,2,2,91,06
47,1,1,1,20,110000,5,6,4,2,1,0,1,11,1,1,3,95,06
64,1,6,1,16,600,1,6,4,2,4,3,3,0,6,2,1,69,06
65,1,1,2,9,32700,1,6,4,2,4,2,2,11,1,2,3,97,06
10,1,8,24,7,-19999,5,6,0,2,1,0,5,0,0,2,3,232,06
28,1,9,2,16,40000,5,6,4,2,5,3,6,1,1,1,4,336,06
71,2,1,1,16,425000,1,6,4,2,1,0,2,0,6,2,2,46,06
67,2,1,1,22,130500,3,6,4,2,1,0,1,0,6,1,2,21,06
1,2,9,1,0,-19999,5,6,0,2,1,0,3,0,0,2,1,90,06
63,1,1,1,24,450000,1,6,4,2,1,0,4,1,1,1,2,98,06
11,2,6,1,7,-19999,5,6,0,2,1,1,6,0,0,2,3,221,06
23,2,8,2,16,7200,5,6,4,2,1,1,4,1,1,2,1,160,06
